Word,Count,Senses,Definition,Example
seriously,9,earnestly in earnest,in a serious manner,talking earnestly with his son
sevenfold,9,,seven times,the population of this village increased sevenfold in the past  years
seventhly,9,,in the seventh place,"seventhly, you have no right to cancel the lease in mid-year"
sexually,8,,by sexual means,reproduce sexually
sexually,8,,with respect to sexuality,sexually ambiguous
shabbily,8,,in a mean and ungenerous manner,the two were haggling shabbily in the drawing-room
shabbily,8,,so as to appear worn and threadbare or dilapidated,a shabbily dressed man
shaggily,8,,in a shaggy manner,shaggily unkempt mane
shakily,7,,in a manner characterized by trembling or shaking,"`I--I'm going to make you a cup of tea', she explained shakily"
shakily,7,,in an insecurely shaky manner,this theory is rather shakily supported by some obscure data
shamefacedly,12,,in a shamefaced manner,"quarrels and dissensions ensued among the cast, most of whom hurriedly and shamefacedly handed over their parts to understudies"
shapelessly,11,,in a shapeless manner,the dress hung shapelessly on her thin body
sharply,7,crisply,in a well delineated manner,the new style of Minoan pottery was sharply defined
sharply,7,sharp acutely,changing suddenly in direction and degree,the road twists sharply after the light
sheepishly,10,,in a sheepish manner,sheepishly he handed her back the money
sheer,5,,directly,he fell sheer into the water
shiftily,8,,in a shifty manner,he looked at his new customer shiftily
shockingly,10,,so as to shock the feelings,"One day, she lost her temper, completely, suddenly and, even to herself, shockingly"
shockingly,10,,extremely,teachers were shockingly underpaid
shockingly,10,,very badly,they behaved shockingly at the funeral
shoddily,8,,in a shoddy manner,a shoddily built house
short,5,unawares,at a disadvantage,I was caught short
short,5,,so as to interrupt,She took him up short before he could continue
short,5,,at some point or distance before a goal is reached,he fell short of our expectations
short,5,,clean across,the car's axle snapped short
short,5,,without possessing something at the time it is contractually sold,
shortly,7,,for a short time,he was at the airport shortly before she was expected to arrive
shortly,7,,at a short distance,the hem fell shortly below her knees
shoulder-to-shoulder,20,,side by side and close together,the troops marched shoulder-to-shoulder
shrilly,7,piercingly,in a shrill voice,she sang rather shrilly
shudderingly,12,,with a shudder,"shudderingly, she acknowledged to herself that she dared not face what lay before her"
shyly,5,timidly bashfully,in a shy or timid or bashful manner,he smiled shyly
sidearm,7,,in a sidearm manner,he prefers to throw sidearm
sidelong,8,sideways obliquely,"to, toward or at one side",darting eyes looking sidelong out of a wizened face
sidelong,8,,with the side toward someone or something,seated sidelong to the window- Nathaniel Hawthorne
sidelong,8,,on the side,the plow lay sidelong on the ground
sidesaddle,10,,on or as if on a sidesaddle,she rode sidesaddle
sideward,8,sidewards,toward one side,turn the figure sideward
sideway,7,sideways sidewise,from the side,obliquely
sideways,8,sideway sidewise,toward one side,the car slipped sideways into the ditch
sideways,8,sideway sidewise,with one side forward or to the front,turned sideways to show the profile
signally,8,unmistakably remarkably,in a signal manner,signally inappropriate methods
signally,8,,as a signal,a term that is used signally rather than symbolically
significantly,13,,in a significant manner,our budget will be significantly affected by these new cuts
significantly,13,,in a statistically significant way,the two groups differed significantly
silkily,7,,in a silky manner,the young wheat shone silkily
similarly,9,likewise,in like or similar manner,He was similarly affected
simply,6,,absolutely,altogether
simultaneously,14,at the same time,at the same instant,they spoke simultaneously
sincerely,9,unfeignedly truly,with sincerity,without pretense
single-handed,13,single-handedly,without assistance,I built this house single-handedly
singly,6,,one by one,one at a time
singularly,10,,in a singular manner or to a singular degree,Lord T. was considered singularly licentious even for the courts of Russia and Portugal; he acquired three wives and fourteen children during his Portuguese embassy alone
sixfold,7,six times,by a factor of six,the population of this town increased sixfold when gold was found in the surrounding hills
sixthly,7,,in the sixth place,"sixthly, we cannot afford a vacation"
sketchily,9,,in a sketchy incomplete manner,he explained sketchily
skillfully,10,skilfully,with skill,"fragments of a nearly complete jug, skillfully restored at the institute of archaeology"
skimpily,8,scantily,in a skimpy manner,a skimpily dressed woman
skittishly,10,,in a skittish manner,the horse pranced around skittishly
sky-high,8,,to a very high level,prices have gone sky-high
sky-high,8,enthusiastically,in a lavish or enthusiastic manner,he extolled her virtues sky-high
sky-high,8,,(with verb `to blow') destroyed completely,blown apart or to pieces
skyward,7,skywards,toward the sky,look skywards
slam-bang,9,slap-bang,in a violent or sudden or noisy manner,the pans fell slam-bang and woke the whole house
slam-bang,9,,with heedless speed,yachts ran slap-bang into the convoy at  knots an hour
slanderously,12,calumniously,in a false and slanderous and defamatory manner,with slander or calumny
slangily,8,,with slang,in a slangy manner
slantwise,9,slantways,at a slant,moving or directed in a slantwise position or direction
slap-bang,9,,directly or immediately,it hit slap-bang in the middle
slapdash,8,slam-bang,in a careless or reckless manner,the shelves were put up slapdash
slavishly,9,,in a slavish manner,his followers slavishly believed in his new diet
sleekly,7,,in a sleek glossy manner,the wet road was shining sleekly
sleepily,8,,in a sleepy manner,the two children who were snuggled sleepily in the back of the car
sleeplessly,11,,without sleep,in a sleepless manner
slenderly,9,slimly slightly,in a slim or slender manner,a slenderly built woman
slightly,8,somewhat more or less,to a small degree or extent,his arguments were somewhat self-contradictory
sloppily,8,,in a sloppy manner,this work was done rather sloppily
slouchily,9,,in a slouchy manner,slouchily dressed
slouchingly,11,,with a slouching gait or posture,he stood slouchingly at the garden gate
slowly,6,slow easy  tardily,without speed (`slow' is sometimes used informally for `slowly'),
sluggishly,10,,in a sluggish manner,the smoke rose sluggishly
small,5,,on a small scale,think small
smartly,7,modishly sprucely,in a stylish manner,He was smartly dressed
smash,5,smashingly,with a loud crash,the car went smash through the fence
smilingly,9,,with smiles,in a smiling manner
smolderingly,12,smoulderingly,with barely repressed anger,"`I can't wait,' she answered smolderingly"
smoothly,8,swimmingly,with no problems or difficulties,put the plans into effect quickly and smoothly
smoothly,8,,in a smooth and diplomatic manner,"`And now,' he said smoothly, `we will continue the conversation'"
smugly,6,,in a smug manner,the bureaucrats explained smugly that the facts provided by their own experts show no cause for concern
snappishly,10,,in an ill-natured and snappish manner,"`Don't talk to me now,' she said snappishly"
sneakingly,10,,in a sneaky manner,I always felt sneakingly that I wanted to be a concert pianist
sneeringly,10,superciliously snidely,with a sneer,in an uncomplimentary sneering manner
snobbishly,10,snootily uppishly,in a snobbish manner,they snobbishly excluded their less wealthy friends from the party
snugly,6,,fitting closely,the vest fit snugly
snugly,6,,safely protected,concealed snugly in his hideout
snugly,6,,warmly and comfortably sheltered,sitting snugly by the fireside while the storm raged
so,2,,in a manner that facilitates,he observed the snakes so he could describe their behavior
so,2,,to a very great extent or degree,
so,2,,(usually followed by `that') to an extent or degree as expressed,he was so tired he could hardly stand
so,2,,"in such a condition or manner, especially as expressed or implied",They're happy and I hope they will remain so
so,2,,to a certain unspecified extent or degree,I can only go so far with this student
so,2,,in the same way,also
so far,6,thus far up to now  hitherto  heretofore  as yet  yet  til now  until now,used in negative statement to describe a situation that has existed up to this point or up to the present time,So far he hasn't called
so far,6,yet,used after a superlative,this is the best so far
soaking,7,sopping dripping,extremely wet,dripping wet
sobbingly,9,,with sobs,"sobbingly, the teenager admitted killing the baby"
sociably,8,,in a sociable manner,"sociably, the new neighbors invited everyone on the block for coffee"
socially,8,,by or with respect to society,socially accepted norms
socially,8,,in a social manner,socially unpopular
sociobiologically,17,,with respect to sociobiology,explain the behavior sociobiologically
socioeconomically,17,,with respect to socioeconomic factors,they are far apart socioeconomically
sociolinguistically,19,,with respect to sociolinguistics,sociolinguistically fascinating
sociologically,14,,with regard to sociology,"sociologically speaking, this is an interesting phenomenon"
softly,6,quietly,with low volume,speak softly but carry a big stick
softly,6,,in a manner that is pleasing to the senses,she smiled softly
solemnly,8,,in a grave and sedate manner,the judge sat there solemnly
solicitously,12,,in a concerned and solicitous manner,`Don't you feel well?' his mother asked solicitously
solidly,7,,with strength and soundness,a solidly built house
solidly,7,,as an undiversified whole,the unions voted solidly for Roosevelt
solitarily,10,,in solitude,a hermit chooses to live solitarily
somberly,8,sombrely,in a somber manner,"`That's sure bad news,' said Dowd, somberly"
someday,7,,some unspecified time in the future,someday you will understand my actions
somehow,7,someway someways,in some unspecified way or manner,or by some unspecified means
somehow,7,,for some unspecified reason,It doesn't seem fair somehow
sometime,8,,at some indefinite or unstated time,let's get together sometime
sometimes,9,,on certain occasions or in certain cases but not always,sometimes she wished she were back in England
somewhere,9,someplace,in or at or to some place,
sonorously,10,rotundly,in a sonorous manner,"the congregation consisted chiefly of a few young folk, who snored sonorously"
soon,4,shortly presently  before long,in the near future,the doctor will soon be here
sooner,6,earlier,comparatives of `soon' or `early',"Come a little sooner, if you can"
soonest,7,earliest,with the least delay,the soonest I can arrive is  P.M.
soothingly,10,,in a soothing manner,the mother talked soothingly to her child
sorely,6,,to a great degree,I missed him sorely
sotto voce,10,,in an undertone,he uttered a curse sotto voce
soughingly,10,,with a soft sound,the branches of the trees moved soughingly in the breeze
soulfully,9,,in a soulful manner,he looked at her soulfully
soullessly,10,,in a soulless manner,they were soullessly grubbing for profit
soundly,7,,deeply or completely,slept soundly through the storm
sourly,6,,in a sour manner,he complained sourly that the new rules only benefitted the managers
south,5,to the south in the south,in a southern direction,we moved south
southeastward,13,southeastwardly,in a southeastward direction,the river flows southeastward to the gulf
southerly,9,,from the south,a wind blew southerly
southerly,9,southward southwards,toward the south,the ship turned southerly
sparsely,8,,in a sparse way,sparsely inhabited
spasmodically,13,,in spurts and fits,I began to write intermittently and spasmodically
spasmodically,13,jerkily,with spasms,"the mouth was slightly open, and jerked violently and spasmodically at one corner"
spatially,9,,with regard to space,spatially limited
specially,9,especially,in a special manner,a specially arranged dinner
specifically,12,,in distinction from others,a program specifically for teenagers
spectacularly,13,stunningly,in a spectacular manner,the area was spectacularly scenic
spectrographically,18,,by spectrographic means,the speech spectrum was displayed spectrographically
speculatively,13,,with speculation,in a speculative manner
speechlessly,12,,without speaking,he stood up soundlessly and speechlessly and glided across the hallway and through a door
spherically,11,,in a spherical manner,spherically shaped
spinally,8,,in the spine,spinally administered
spirally,8,,with spirals,spirally fluted handles
spiritedly,10,,in a spirited or lively manner,with animation and vivacity
spiritually,11,,in a spiritual manner,the ninth century was the spiritually freest period
spitefully,10,,with spite,in a spiteful manner
spontaneously,13,,in a spontaneous manner,this shift occurs spontaneously
sporadically,12,periodically,in a sporadic manner,he only works sporadically
sportingly,10,,so as to be sporting,in a sporting manner
spotlessly,10,,in a spotless manner,spotlessly clean
spuriously,10,,in a false and spurious manner,the lawyer argued spuriously that his client knew nothing of the burglary
squarely,8,foursquare straightforwardly,with firmness and conviction,without compromise
squarely,8,square,firmly and solidly,hit the ball squarely
squarely,8,square,in a square shape,a squarely cut piece of paper
squarely,8,forthrightly forthright,directly and without evasion,not roundabout
squarely,8,square,in a straight direct way,looked him squarely in the eye
squeamishly,11,,in a squeamish manner,"`I would rather not touch,' he said squeamishly"
stably,6,,in a stable unchanging manner,the death rate in Russia has been stably high
stably,6,,in a stable solid fixed manner,the boulder was balanced stably at the edge of the canyon
staccato,8,,separating the notes,in music
stagily,7,theatrically,in a stagy and theatrical manner,"`I cannot show my face at her house,' he declared theatrically"
standoffishly,13,,in a standoffish manner,"standoffishly, he declined the invitation to the office party"
stark,5,,completely,stark mad
starkly,7,,in a blunt manner,in starkly realistic terms
starkly,7,,in sharp outline or contrast,the black walls rose starkly from the snow
starkly,7,,in a stark manner,He was starkly unable to achieve coherence
startlingly,11,,in a startling manner,a startlingly modern voice
statistically,13,,with respect to statistics,this is statistically impossible
statutorily,11,,according to statute,placed statutorily under the council's supervision
staunchly,9,stanchly,in a staunch manner,he staunchly defended his principles
steadily,8,,at a steady rate or pace,his interest eroded steadily
steadily,8,steady,in a steady manner,he could still walk steadily
stealthily,10,,in a stealthy manner,stealthily they advanced upstream
steeply,7,,in a steep manner,the street rose steeply up to the castle
stepwise,8,step by step,proceeding in steps,the voltage was increased stepwise
sternly,7,severely,with sternness,in a severe manner
stertorously,12,,in a noisy and stertorous manner,he was breathing stertorously
stickily,8,viscidly,in a sticky viscid manner,he felt the blood move stickily from his split scalp and trickle down his forehead
stiff,5,,extremely,bored stiff
stiffly,7,stiff,in a stiff manner,his hands lay stiffly
still,5,,with reference to action or condition,"without change, interruption, or cessation"
still,5,stock-still,without moving or making a sound,he sat still as a statue
stiltedly,9,,in a stilted manner,she answered him stiltedly
stingily,8,cheaply chintzily,in a stingy manner,their rich uncle treated them rather chintzily
stirringly,10,,in a stirring manner,he talked stirringly about his days during the war
stochastically,14,,by stochastic means,we estimated the answer stochastically
stockily,8,,so as to be stocky,he was stockily built
stoically,9,,without emotion,in a stoic manner
stolidly,8,,in a stolid manner,he said `no' stolidly
stonily,7,,in a stony manner,stonily indifferent to time
stoutly,7,,in a resolute manner,he was stoutly replying to his critics
straight,8,,in a straight line,in a direct course
straightway,11,,in a direct course,plunged straightway to the rocks below
straightway,11,,at once,straightway the clouds began to scatter
strategically,13,,with regard to strategy,strategically important decisions
strenuously,11,,in a strenuous manner,strongly or vigorously
strictly,8,purely,restricted to something,we talked strictly business
strictly,8,stringently,in a stringent manner,the laws are stringently enforced
stridently,10,,in a strident manner,the cheap clock ticked stridently
strikingly,10,,in a striking manner,this was strikingly demonstrated
strongly,8,,with strength or in a strong manner,argues very strongly for his proposal
structurally,12,,with respect to structure,"structurally, the organization is healthy"
stubbornly,10,pig-headedly obdurately  mulishly  obstinately  cussedly,in a stubborn unregenerate manner,she remained stubbornly in the same position
studiously,10,,in a studious manner,she examined the data studiously
stuffily,8,stodgily,in a stuffy manner,"`Come in please,' he said stuffily"
stupendously,12,,to a stupendous degree,stupendously ignorant people
stupidly,8,doltishly,in a stupid manner,he had stupidly bought a one way ticket
sturdily,8,,in a sturdy manner,feet sturdily apart
stylishly,9,,in a stylish manner,she was dressed very stylishly
stylistically,13,,in a rhetorically stylistic manner,stylistically complex
suavely,7,,with suavity,in a suave manner
sub rosa,8,,in secret or covertly,held a meeting sub rosa to avoid general criticism
subconsciously,14,,from the subconscious mind,the image came to him subconsciously
subcutaneously,14,,below the skin,inject subcutaneously
subjectively,12,,in a subjective way,you cannot look at these facts subjectively
sublimely,9,,in a lofty and exalted manner,"it is an enormous, fruit-packed wine, smelling sublimely of ripe blackcurrants"
subsequently,12,later afterwards  afterward  afte later on,happening at a time subsequent to a reference time,he apologized subsequently
substantially,13,,in a strong substantial way,the house was substantially built
subtly,6,,in a subtle manner,"late nineteenth-century French opera at its most beautiful, subtly romantic with a twilight melancholy"
successfully,12,,with success,in a successful manner
successively,12,in turn,in proper order or sequence,talked to each child in turn
succinctly,10,compactly,with concise and precise brevity,to the point
such,4,,to so extreme a degree,
suddenly,8,all of a sudden of a sudden,happening unexpectedly,suddenly she felt a sharp pain in her side
sufficiently,12,,to a sufficient degree,she was sufficiently fluent in Mandarin
suggestively,12,,in a suggestive manner,she smiled suggestively
sulkily,7,,in a sulky manner,`What else could I do?' said Graham sulkily
summa cum laude,15,,with highest honor,he graduated summa cum laude
summarily,9,,without delay,in a summary manner
sumptuously,11,opulently,in a sumptuous and opulent manner,this government building is sumptuously appointed
superficially,13,,in a superficial manner,he was superficially interested
superfluously,13,,in a superfluous manner,"superfluously, he added his silly comments to the discussion"
superstitiously,15,,in a superstitious manner,superstitiously he refused to travel on Friday the th
supinely,8,,in an indifferently supine manner,he called the tune to me and I supinely took it up
supinely,8,,with the face upward,she was stretched supinely on her back
supremely,9,sublimely,to the maximum degree,he was supremely confident
sure enough,11,,as supposed or expected,"sure enough, he asked her for money again"
surely,6,certainly sure  for sure  for certain  sure enough  sure as shooting,definitely or positively (`sure' is sometimes used informally for `surely'),
surgically,10,,in a surgical manner,by means of surgery
surpassingly,12,passing,to an extraordinary degree,she was a surpassingly beautiful woman
surprisingly,12,,in a surprising manner,he was surprisingly friendly
surreptitiously,15,sneakily,in a surreptitious manner,he was watching her surreptitiously as she waited in the hotel lobby
suspiciously,12,,with suspicion,she regarded the food suspiciously
sweepingly,10,,in a sweeping manner,he sweepingly condemned the entire population of the country for the war crimes
sweetly,7,sweet,,
swiftly,7,fleetly,in a swift manner,she moved swiftly
syllabically,12,,in or with syllables,syllabically pronounced
symbiotically,13,,in a symbiotic manner,
symbolically,12,,in a symbolic manner,symbolically accepted goals
symbolically,12,,by means of symbols,symbolically expressed
symmetrically,13,,in a symmetrical manner,they were symmetrically arranged
sympathetically,15,,with respect to the sympathetic nervous system,the stimulus acted sympathetically
sympathetically,15,empathetically,in a sympathetic manner,she listened to him sympathetically
synchronously,13,,in synchrony,in a synchronous manner
synonymously,12,,in a synonymous manner,the two terms are used synonymously
syntactically,13,,with respect to syntax,syntactically ill-formed
synthetically,13,,by synthesis,in a synthetic manner
systematically,14,consistently,in a systematic or consistent manner,they systematically excluded women
tacitly,7,,in a tacit manner,by unexpressed agreement
tactfully,9,,showing tact or tactfulness,in a tactful manner
tactically,10,,with regard to tactics,the tactically useful province is still firmly in the rebels' hands
tactlessly,10,,without tact,in a tactless manner
tactually,9,haptically,by touch,he perceives shapes tactually
tamely,6,,in a tame manner,the labour movement allowed itself to be run out of power tamely
tandem,6,in tandem,one behind the other,ride tandem on a bicycle built for two
tangentially,12,,peripherally,touched on it tangentially
tangibly,8,,in a tangible manner,virtue is tangibly rewarded
tantalizingly,13,invitingly,in a tantalizing manner,she smiled at him tantalizingly
tartly,6,,in a tart manner,"`Never mind your immortal soul,' she said tartly"
tastefully,10,tastily,with taste,in a tasteful manner
tastelessly,11,,without taste or in poor taste,in a tasteless manner
tastily,7,,in a tasty manner,the meal was tastily cooked
tauntingly,10,teasingly,in a playfully teasing manner,"`You hate things to be out of order, don't you?' she said teasingly"
tautly,6,,in a taut manner,the rope was tautly stretched
taxonomically,13,,with regard to taxonomy,closely related taxonomically
tearfully,9,,with tears,in a tearful manner
technically,11,,with regard to technical skill and the technology available,a technically brilliant solution
technically,11,,with regard to technique,technically lagging behind the Japanese
technically,11,,according to the exact meaning,according to the facts
technologically,15,,by means of technology,technologically impossible
telegraphically,15,tersely,in a short and concise manner,"a particular bird, exactly and tersely described in the book of birds"
telescopically,14,,in a telescopic manner,each of the four legs contains a simple screw jack with a thrust bearing that is operated telescopically inside of two tubes
tellingly,9,,in a telling manner,the plain manner of its style all the more tellingly points up the horror of the case
temperamentally,15,,by temperament,temperamentally suited to each other
temperately,11,,without extravagance,these preferences are temperately stated
temperately,11,,with restraint,he used the privileges of his office temperately
temporally,10,,with regard to temporal order,temporally processed
temporarily,11,,for a limited time only,not permanently
tendentiously,13,,in a tendentious manner,the paper reported rather tendentiously on the war atrocities
tenderly,8,,with tenderness,in a tender manner
tenfold,7,,by ten times as much,the population increased tenfold
tensely,7,,in a tense manner,he sat down tensely
tentatively,11,,in a tentative manner,we agreed tentatively on a dinner date
tenuously,9,,in a tenuous manner,his works tenuously survive in the minds of a few scholars
terminally,10,,at the end,terminally ill
terrestrially,13,,to a land environment,terrestrially adapted
terribly,8,awfully awful  frightfully,used as intensifiers,
terribly,8,atrociously awfully  abominably  abysmally  rottenly,in a terrible manner,she sings terribly
territorially,13,,with respect to territory,territorially important
testily,7,irritably petulantly  pettishly,in a petulant manner,he said testily: `Go away'
tetchily,8,,in an ill-natured and tetchy manner,`Are you sure?' he asked her tetchily
tete,4,tete,without the intrusion of a third person,in intimate privacy
thankfully,10,,let us be thankful that,thankfully he didn't come to the party
thankfully,10,gratefully,in a thankful manner,with thanks
theatrically,12,,in a theatrical manner,theatrically dressed
thematically,12,,with regard to thematic content,thematically related
then,4,so and so,subsequently or soon afterward (often used as sentence connectors),then he left
then,4,,at that time,I was young then
then,4,,in that case or as a consequence,"if he didn't take it, then who did?"
thence,6,therefrom,from that place or from there,proceeded thence directly to college
thence,6,therefrom thereof,from that circumstance or source,atomic formulas and all compounds thence constructible- W.V.Quine
theologically,13,,in a theological manner,"he dealt with the problem of evil theologically, not philosophically"
theologically,13,,as regards theology,the candidate was found theologically sound
theoretically,13,,in theory,according to the assumed facts
theoretically,13,,in a theoretical manner,he worked the problem out theoretically
there,5,,in or at that place or location,they have lived there for years
there,5,thither,to or toward that place,away from the speaker
there,5,,in that matter,in that respect
thereabout,10,thereabouts,near that place,he stayed in London or thereabouts for several weeks
thereabout,10,thereabouts,near that time or date,come at noon or thereabouts
thereafter,10,thenceforth,from that time on,thereafter he never called again
thereby,7,,by that means or because of that,"He knocked over the red wine, thereby ruining the table cloth"
therefor,8,,"(in formal usage, especially legal usage) for that or for it",
therefore,9,hence thence  thus  so a,(used to introduce a logical conclusion) from that fact or reason or as a result,therefore X must be true
therein,7,in this in that,(formal) in or into that thing or place,
thereof,7,,of or concerning this or that,a problem and the solution thereof
thereon,7,on it on that,on that,text and commentary thereon
thereto,7,to it to that,to that,with all the appurtenances fitting thereto
theretofore,11,,up to that time,they had not done any work theretofore
therewith,9,,with that or this or it,"I have learned that whatever state I am, therewith to be content- Phil.:"
therewithal,11,,together with all that,besides
thermodynamically,17,,with respect to thermodynamics,this phenomenon is thermodynamically impossible
thermostatically,16,,by thermostat,in a thermostatic manner
thick,5,thickly,in quick succession,misfortunes come fast and thick
thickly,7,,spoken with poor articulation as if with a thick tongue,after a few drinks he was beginning to speak thickly
thickly,7,,with thickness,in a thick manner
thickly,7,thick,with a thick consistency,the blood was flowing thick
thinly,6,,in a widely distributed manner,thinly overgrown mountainside
thinly,6,lightly,in a small quantity or extent,spread the margarine thinly over the meat
thinly,6,thin,without viscosity,the blood was flowing thin
thinly,6,,without force or sincere effort,smiled thinly
third,5,thirdly,in the third place,third we must consider unemployment
thirdhand,9,,by doubly indirect means,I got the news thirdhand
thirstily,9,,in a thirsty manner,we drank thirstily from the bottle that was passed around
thoroughly,10,exhaustively,in an exhaustive manner,we searched the files thoroughly
thoroughly,10,soundly good,completely and absolutely (`good' is sometimes used informally for `thoroughly'),
though,6,,(postpositive) however,"it might be unpleasant, though"
thoughtfully,12,,showing consideration and thoughtfulness,he had thoughtfully brought with him some food to share
thoughtfully,12,,in a thoughtful manner,he stared thoughtfully out the window
thoughtlessly,13,,showing thoughtlessness,he treated his parents thoughtlessly
thoughtlessly,13,unthinkingly unthinking,in a thoughtless manner,he stared thoughtlessly at the picture
thousand-fold,13,thousand times,by three orders of magnitude,this poison is a thousand-fold more toxic
threefold,9,three times,by a factor of three,our rent increased threefold in the past five years
thrice,6,,three times,I called you thrice last night
thriftily,9,,in a thrifty manner,a used towel that he had used and had left thriftily on the ledge below the mirror rather than consign to the linen basket
thriftlessly,12,,in a thriftless manner,he lives thriftlessly from day to day
through,7,through and through,throughout the entire extent,got soaked through in the rain
through,7,,over the whole distance,this bus goes through to New York
through,7,,in diameter,this cylinder measures  inches through
through,7,,from beginning to end,read this book through
through,7,,to completion,think this through very carefully
throughout,10,end-to-end,from first to last,the play was excellent end-to-end
thus,4,thusly so,in the way indicated,hold the brush so
tidily,6,,in a tidy manner,the door gave access to a tidily furnished sitting-room where chintz and oak predominated
tightly,7,,securely fixed or fastened,the window was tightly sealed
tightly,7,,in a tight or constricted manner,a tightly packed pub
tiptoe,6,,on tiptoe or as if on tiptoe,standing tiptoe
tip-top,7,,to the highest extent,the shoes fit me tip-top
tiredly,7,wearily,in a weary manner,he walked around tiredly
to,2,man,without exception,voted for unionization to a man
to,2,T to the letter just right  to perfection,in every detail,the new house suited them to a T
to advantage,12,,in a manner that uses the most flattering or best aspects of,the dress brought out her figure to advantage
to be sure,10,without doubt no doubt,admittedly,"to be sure, he is no Einstein"
to order,8,,to specification,he had the shoes made to order
to that effect,14,,with that general meaning,she said something to that effect
to the hilt,11,to the limit,in full,you are in this to the hilt
today,5,,on this day as distinct from yesterday or tomorrow,I can't meet with you today
toe-to-toe,10,,in close combat or at close quarters,they fought toe-to-toe for the nomination
together,8,,at the same time,we graduated together
together,8,unitedly,with cooperation and interchange,we worked together on the project
together,8,,in contact with each other or in proximity,the leaves stuck together
together,8,,assembled in one place,we were gathered together
together,8,,in each other's company,we went to the movies together
tolerantly,10,,in a tolerant manner,he reacts rather tolerantly toward his son's juvenile behavior
tonelessly,10,,in a monotone,"`Come in,' she said tonelessly"
tonight,7,this evening this night,during the night of the present day,drop by tonight
tooth and nail,14,,with force and ferocity,she fought tooth and nail
topographically,15,,with regard to topography,the geological environment is the primary factor in determining the character of a country not only topographically but historically
tortuously,10,,in a tortuous manner,tortuously haggling over the price
touchily,8,,in a touchy manner,he touchily refused all offers to help
toughly,7,,in a ruggedly tough manner,toughly vigorous story-telling
traditionally,13,,according to tradition,in a traditional manner
tragically,10,,in a tragic manner,with tragic consequences
tranquilly,10,,without emotional agitation,tranquilly she went on with her work
transiently,11,,for a very short time,these three pions may actually be joined together transiently as a compound particle during the interchange process
transitively,12,,in a transitive manner,you can use the verb `eat' transitively or intransitively
transparently,13,,so as to allow the passage of light,the red brilliance of the claret shines transparently in our glasses
transparently,13,,so as to be easily understood or seen through,his transparently lucid prose
transversely,12,transversally,in a transverse manner,they were cut transversely
tremulously,11,,in a tremulous manner,the leaves rustled tremulously in the wind
trenchantly,11,,in a vigorous and effective manner,he defended his client's civil rights trenchantly
trimly,6,,in a trim manner,he was trimly attired
tritely,7,,in a trite manner,tritely expressed emotions
triumphantly,12,,in a triumphant manner,she shouted triumphantly
trivially,9,,in a frivolously trivial manner,trivially motivated requests
trivially,9,,with little effort,we can prove trivially that this theorem is false
tropically,10,,in a tropical manner,it was tropically hot in the greenhouse
truculently,11,,in a defiantly truculent manner,the boy looked up truculently at his teacher
truculently,11,,in an aggressively truculent manner,they strive for security by truculently asserting their own interests
truly,5,genuinely really,in accordance with truth or fact or reality,she was now truly American
trustfully,10,,in a trustful manner,his mouth grinned trustfully
trustfully,10,trustingly confidingly,with trust,in a trusting manner
truthfully,10,,with truth,I told him truthfully that I had just returned from my vacation
tumultuously,12,riotously,in a tumultuous and riotous manner,the crowd was demonstrating tumultuously
tunelessly,10,,in a tuneless fashion,he whistled tunelessly
turbulently,11,,in a turbulent manner,with turbulence
turgidly,8,bombastically,in a turgid manner,he lectured bombastically about his theories
tutorially,10,,by tutorials,in a tutorial manner
twice,5,,two times,I called her twice
twirlingly,10,,doing twirls,they had a most twirlingly magnificent time
twofold,7,two times,by a factor of two,the price increased twofold last year
typically,9,,in a typical manner,Tom was typically hostile
ultimately,10,finally in the end  at last  at long last,as the end result of a succession or process,ultimately he had to give in
ultrasonically,14,,by ultrasonic means,the kidney stones were removed ultrasonically
unabashedly,11,,in an unabashed manner,"unabashedly, he asked for more"
unacceptably,12,intolerably,to an unacceptable degree,The percentage of lead in our drinking water is unacceptably high
unaccountably,13,,in an unaccountable manner,"in the book, a tycoon unaccountably becomes the hero's friend"
unalterably,11,unchangeably unassailably  immutably,in an unalterable and unchangeable manner,his views were unchangeably fixed
unambiguously,13,unequivocally,in an unambiguous manner,she stated her intentions unequivocally
unambitiously,13,,in an unambitious manner,"he does his job, but he works unambitiously"
unanimously,11,nem con nemine contradicente,of one mind,without dissent
unappealingly,13,,in an unappealing manner,the kitchen was unappealingly dirty
unarguably,10,undisputedly inarguably,in an unarguable and undisputed manner,you write as if this fact whilst inarguably forever condemning me to the ranks of Bohemianism nevertheless earned for me the right of entry into any company
unashamedly,11,shamelessly barefacedly,without shame,he unashamedly abandoned the project when he realized he would not gain from it
unassertively,13,,in an unassertive manner,"unassertively, she always follows her husband's suggestions"
unassumingly,12,,in an unassuming manner,she is unassumingly skeptical of her own work
unattainably,12,unachievably,in an unattainable manner or to an unattainable degree,this house is unattainably expensive
unattractively,14,,in an unattractive manner,she was unattractively dressed last night
unawares,8,,suddenly and unexpectedly,rain caught them unawares
unawares,8,,without forethought or plan,inadvertently
unbearably,10,#NAME?,to an unbearable degree,it was unbearably hot in the room
unbeknown,9,unbeknownst,without someone's knowledge,"unbeknownst to me, she made all the arrangements"
unbelievably,12,,in an unbelievable manner,he was unbelievably angry
unblinkingly,12,,showing no emotion,the convicted killer listened unblinkingly to the reading of his sentence
unblushingly,12,,without blushing,his principal opponent unblushingly declared victory before the ballots had been counted
